brand,desc,disc_price,actual_price,image_url
AKHILAM,Women's Woven Chiffon Saree With Unstiched Blouse Piece,599,2359,https://m.media-amazon.com/images/I/71uqpQYYKrL._AC_UL320_.jpg
KANCHNAR,Women's Georgette Saree With blouse piece,371,1559,https://m.media-amazon.com/images/I/61YoVkc+1JL._AC_UL320_.jpg
GoSriKi,Women Saree,299,1999,https://m.media-amazon.com/images/I/81n+rnzF0RS._AC_UL320_.jpg
PERFECTBLUE,Women's Blend Linen Saree with Unstitched Blouse Piece (DigitalPrintVariation),469,2999,https://m.media-amazon.com/images/I/91J92wiWVML._AC_UL320_.jpg
PERFECTBLUE,Women's Digital Linen Saree with Unstitched Blouse Piece (DiGiChampa(1)),399,2999,https://m.media-amazon.com/images/I/91hnpooM-yL._AC_UL320_.jpg
Hinfy Export,Saree For Women Hot New Release Party Wear Half Sarees Offer Designer Below 500 Rupees Latest Designer Saree Under 300 Combo Art Silk New Collection 2020-2021 In Latest With Designer Blouse Beautiful For Women Party Wear Sadi Offer Sarees Collection Kanchipuram Bollywood Bhagalpuri Embroidered Free Size Georgette Sari Mirror Work Marriage Wear Original Sarees Wedding Casual Design With Blouse Materials,499,999,https://m.media-amazon.com/images/I/51P59OhDwRL._AC_UL320_.jpg
Anand Sarees,Women's Chiffon Saree With blouse piece,468,2399,https://m.media-amazon.com/images/I/81JE98ug38L._AC_UL320_.jpg
OOMPH!,Women’s Georgette Sarees,469,2340,https://m.media-amazon.com/images/I/81Ac5LasV-L._AC_UL320_.jpg
SOURBH,Women's Cotton Blend Saree With Unstiched Blouse Piece,469,1999,https://m.media-amazon.com/images/I/81Lwz9gb6JL._AC_UL320_.jpg
RANI SAAHIBA,Women's Plain Weave Cotton Saree Without blouse piece,499,1999,https://m.media-amazon.com/images/I/919lFRIWVhL._AC_UL320_.jpg
Trilok Fab,Women's Embroidered silk Saree With Blouse Piece,795,3999,https://m.media-amazon.com/images/I/91+HYVbu8ZL._AC_UL320_.jpg
FIRST SELECT CLOTHES,Women's Banarasi Cotton Silk Saree With Un-stitched Blouse,449,1000,https://m.media-amazon.com/images/I/516FPFz2XgL._AC_UL320_.jpg
Womanista,Women's Printed Faux Georgette Saree with Blouse Piece,529,1599,https://m.media-amazon.com/images/I/71CPfiKpWmL._AC_UL320_.jpg
Nilkanth,Women's Woven Cotton Blend Saree With Blouse Piece,699,1999,https://m.media-amazon.com/images/I/71wSm5IhNpL._AC_UL320_.jpg
Yashika,Women Saree,279,1797,https://m.media-amazon.com/images/I/81QOe4fOisL._AC_UL320_.jpg
HITHROW,SILK SAREE WITH BLOUSE PIECE,399,999,https://m.media-amazon.com/images/I/91Qd3yK7xJL._AC_UL320_.jpg
Greciilooks,Soft Cotton Silk Saree For Women Beautiful For Women saree,619,1499,https://m.media-amazon.com/images/I/81Uvigmp-qS._AC_UL320_.jpg
Sidhidata,Women's Kota Doria Pure Cotton Saree With Unstiched Blouse Piece,699,2999,https://m.media-amazon.com/images/I/91hqMlVMKVL._AC_UL320_.jpg
RUNAYA NX,Women's Georgette Sarees with blouse piece FANCY SAREE,379,1299,https://m.media-amazon.com/images/I/81KsEnzQMtL._AC_UL320_.jpg
PERFECTBLUE,Women's cotton Silk Saree With Blouse Piece New,369,3999,https://m.media-amazon.com/images/I/818waCM6fIL._AC_UL320_.jpg
